gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Bcell	CAF	CD4.T	EC	Exhausted_CD8_T_cell	Fast_cycling	Fib	G0_arrested	Mac	Mast	Peri	Plas.B	Slow_cycling	TAM	Treg	cDC	pDC
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.038	0.011	0.057	0.041	0.132	0.114	0.028	0.015	0.156	0.071	0.016	0.017	0.037	0.157	0.079	0.092	0.023
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	UBASH3B	0.038	0.011	0.057	0.041	0.132	0.114	0.028	0.015	0.156	0.071	0.016	0.017	0.037	0.157	0.079	0.092	0.023
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.038	0.011	0.057	0.041	0.132	0.114	0.028	0.015	0.156	0.071	0.016	0.017	0.037	0.157	0.079	0.092	0.023
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.02	0.033	0.023	0.014	0.009	0.297	0.065	0.071	0.061	0.095	0.086	0.043	0.148	0.146	0.026	0.059	0.005
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.02	0.033	0.023	0.014	0.009	0.297	0.065	0.071	0.061	0.095	0.086	0.043	0.148	0.146	0.026	0.059	0.005
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.02	0.033	0.023	0.014	0.009	0.297	0.065	0.071	0.061	0.095	0.086	0.043	0.148	0.146	0.026	0.059	0.005
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.09	0.136	0.036	0.196	0.041	1.323	0.145	0.334	0.166	0.024	0.187	0.148	0.892	0.253	0.058	0.165	0.112
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.043	0.059	0.018	0.05	0.026	0.664	0.068	0.07	0.06	0.048	0.032	0.046	0.287	0.075	0.048	0.093	0.112
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.002	0.0	0.0	0.0	0.0	0.002	0.0	0.003	0.0	0.0	0.0	0.0	0.004	0.0	0.001	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	SULT1E1	0.002	0.001	0.0	0.003	0.0	0.028	0.0	0.019	0.003	0.0	0.0	0.005	0.031	0.001	0.0	0.001	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS06B596CD2	SULT1E1	0.002	0.001	0.0	0.003	0.0	0.028	0.0	0.019	0.003	0.0	0.0	0.005	0.031	0.001	0.0	0.001	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.002	0.001	0.0	0.003	0.0	0.028	0.0	0.019	0.003	0.0	0.0	0.005	0.031	0.001	0.0	0.001	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0FF565F1C	SULT2A1	0.0	0.001	0.0	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS04A65DD62	SULT2A1	0.0	0.001	0.0	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0006C277B	SULT2A1	0.0	0.001	0.0	0.002	0.001	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	CYP21A2	0.003	0.005	0.004	0.005	0.001	0.022	0.005	0.035	0.004	0.0	0.007	0.006	0.067	0.001	0.0	0.002	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	0.043	0.046	0.028	0.078	0.022	1.357	0.046	0.148	0.03	0.0	0.018	0.084	0.611	0.052	0.031	0.026	0.017
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.043	0.046	0.028	0.078	0.022	1.357	0.046	0.148	0.03	0.0	0.018	0.084	0.611	0.052	0.031	0.026	0.017
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.043	0.046	0.028	0.078	0.022	1.357	0.046	0.148	0.03	0.0	0.018	0.084	0.611	0.052	0.031	0.026	0.017
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	0.043	0.046	0.028	0.078	0.022	1.357	0.046	0.148	0.03	0.0	0.018	0.084	0.611	0.052	0.031	0.026	0.017
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.049	0.191	0.015	0.128	0.002	0.664	0.266	0.274	0.109	0.024	0.296	0.03	0.496	0.181	0.019	0.082	0.021
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.049	0.191	0.015	0.128	0.002	0.664	0.266	0.274	0.109	0.024	0.296	0.03	0.496	0.181	0.019	0.082	0.021
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS03629A52A	DAGLA	0.001	0.005	0.0	0.003	0.001	0.012	0.004	0.012	0.014	0.0	0.005	0.002	0.008	0.016	0.0	0.005	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS0C6F86DF5	DAGLA	0.001	0.005	0.0	0.003	0.001	0.012	0.004	0.012	0.014	0.0	0.005	0.002	0.008	0.016	0.0	0.005	0.0
DAGLA	Q9Y4D2	True	DGLA_HUMAN	2arachidonoylglycerol_byDAGLA	CPI-CS045C37E64	DAGLA	0.001	0.005	0.0	0.003	0.001	0.012	0.004	0.012	0.014	0.0	0.005	0.002	0.008	0.016	0.0	0.005	0.0
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS007D418BE	DAGLB	0.04	0.032	0.018	0.064	0.026	0.072	0.025	0.024	0.062	0.024	0.014	0.023	0.057	0.137	0.019	0.151	0.026
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS030959ED1	DAGLB	0.04	0.032	0.018	0.064	0.026	0.072	0.025	0.024	0.062	0.024	0.014	0.023	0.057	0.137	0.019	0.151	0.026
DAGLB	Q8NCG7	True	DGLB_HUMAN	2arachidonoylglycerol_byDAGLB	CPI-CS01F7D06F1	DAGLB	0.04	0.032	0.018	0.064	0.026	0.072	0.025	0.024	0.062	0.024	0.014	0.023	0.057	0.137	0.019	0.151	0.026
DHRS9	Q9BPW9	True	DHRS9_HUMAN	5alphaDihydroprogesterone_byDHRS9	CPI-CS072C12EF4	DHRS9	0.298	0.002	0.0	0.005	0.001	0.004	0.005	0.006	0.08	0.476	0.0	0.035	0.006	0.079	0.001	0.042	0.003
ALOX5	P09917	True	LOX5_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
ALOX5	P09917	True	LOX5_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	ALOX5	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	ALOX5	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
ALOX5	P09917	True	LOX5_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	LTC4S	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	LTC4S	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	LTC4S	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	LTC4S	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	LTC4S	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	LTC4S	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS0215886EA	LTC4S	0.03	0.026	0.076	0.299	0.026	0.178	0.06	0.136	0.056	6.0	0.014	0.134	0.157	0.265	0.008	0.218	0.002
LTC4S	Q16873	True	LTC4S_HUMAN	LTC4_byLTC4S	CPI-CS077A507B6	LTC4S	0.03	0.026	0.076	0.299	0.026	0.178	0.06	0.136	0.056	6.0	0.014	0.134	0.157	0.265	0.008	0.218	0.002
ALOX5AP	P20292	True	AL5AP_HUMAN	5SHpETE_byALOX5	CPI-CS016CDFE07	ALOX5AP	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS0891F5216	ALOX5AP	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS01FC3CF4D	ALOX5AP	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
ALOX5AP	P20292	True	AL5AP_HUMAN	LeukotrieneC4_byLTC4S	CPI-CS00DCACEEE	ALOX5AP	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS0FC36F030	ALOX5AP	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
ALOX5AP	P20292	True	AL5AP_HUMAN	LipoxinA4_byALOX5	CPI-CS087E1C654	ALOX5AP	0.03	0.004	0.014	0.03	0.003	0.014	0.033	0.034	0.056	1.595	0.014	0.024	0.041	0.265	0.008	0.218	0.002
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBA	0.006	0.028	0.005	0.083	0.004	0.161	0.066	0.085	0.015	0.0	0.043	0.026	0.083	0.016	0.008	0.014	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	INHBA	0.006	0.028	0.005	0.083	0.004	0.161	0.066	0.085	0.015	0.0	0.043	0.026	0.083	0.016	0.008	0.014	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBA	0.006	0.028	0.005	0.083	0.004	0.161	0.066	0.085	0.015	0.0	0.043	0.026	0.083	0.016	0.008	0.014	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBA	0.006	0.028	0.005	0.083	0.004	0.161	0.066	0.085	0.015	0.0	0.043	0.026	0.083	0.016	0.008	0.014	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBA	0.006	0.028	0.005	0.083	0.004	0.161	0.066	0.085	0.015	0.0	0.043	0.026	0.083	0.016	0.008	0.014	0.0
INHBA	P08476	True	INHBA_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBA	0.006	0.028	0.005	0.083	0.004	0.161	0.066	0.085	0.015	0.0	0.043	0.026	0.083	0.016	0.008	0.014	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07611BF54	INHBA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC07323E253	INHBA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC04553E312	INHBA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0FA8B4931	INHBA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0BDA1C176	INHBA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHBA	P08476	True	INHBA_HUMAN	Inhibin_ligand_A	CPI-CC0C1E0C4B7	INHBA	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0AFC21177	INHBB	0.006	0.028	0.005	0.083	0.004	0.161	0.066	0.085	0.015	0.0	0.043	0.026	0.083	0.016	0.008	0.014	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC028D7588F	INHBB	0.006	0.028	0.005	0.083	0.004	0.161	0.066	0.085	0.015	0.0	0.043	0.026	0.083	0.016	0.008	0.014	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0E6BCEC26	INHBB	0.006	0.028	0.005	0.083	0.004	0.161	0.066	0.085	0.015	0.0	0.043	0.026	0.083	0.016	0.008	0.014	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0288FD89F	INHBB	0.006	0.028	0.005	0.083	0.004	0.161	0.066	0.085	0.015	0.0	0.043	0.026	0.083	0.016	0.008	0.014	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC0021FE823	INHBB	0.006	0.028	0.005	0.083	0.004	0.161	0.066	0.085	0.015	0.0	0.043	0.026	0.083	0.016	0.008	0.014	0.0
INHBB	P09529	True	INHBB_HUMAN	Activin_ligand_ab	CPI-CC00485C63D	INHBB	0.006	0.028	0.005	0.083	0.004	0.161	0.066	0.085	0.015	0.0	0.043	0.026	0.083	0.016	0.008	0.014	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0AD71E0D3	INHBB	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0300AB2DF	INHBB	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC057B323A5	INHBB	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC02D192370	INHBB	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC08375F742	INHBB	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
INHBB	P09529	True	INHBB_HUMAN	Inhibin_ligand_B	CPI-CC0E62974F4	INHBB	0.003	0.003	0.0	0.0	0.0	0.011	0.001	0.002	0.001	0.0	0.002	0.002	0.017	0.0	0.001	0.0	0.0
