id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	rank	Bcell|Bcell	Bcell|CAF	Bcell|CD4.T	Bcell|EC	Bcell|Exhausted_CD8_T_cell	Bcell|Fast_cycling	Bcell|Fib	Bcell|G0_arrested	Bcell|Mac	Bcell|Mast	Bcell|Peri	Bcell|Plas.B	Bcell|Slow_cycling	Bcell|TAM	Bcell|Treg	Bcell|cDC	Bcell|pDC	CAF|Bcell	CAF|CAF	CAF|CD4.T	CAF|EC	CAF|Exhausted_CD8_T_cell	CAF|Fast_cycling	CAF|Fib	CAF|G0_arrested	CAF|Mac	CAF|Mast	CAF|Peri	CAF|Plas.B	CAF|Slow_cycling	CAF|TAM	CAF|Treg	CAF|cDC	CAF|pDC	CD4.T|Bcell	CD4.T|CAF	CD4.T|CD4.T	CD4.T|EC	CD4.T|Exhausted_CD8_T_cell	CD4.T|Fast_cycling	CD4.T|Fib	CD4.T|G0_arrested	CD4.T|Mac	CD4.T|Mast	CD4.T|Peri	CD4.T|Plas.B	CD4.T|Slow_cycling	CD4.T|TAM	CD4.T|Treg	CD4.T|cDC	CD4.T|pDC	EC|Bcell	EC|CAF	EC|CD4.T	EC|EC	EC|Exhausted_CD8_T_cell	EC|Fast_cycling	EC|Fib	EC|G0_arrested	EC|Mac	EC|Mast	EC|Peri	EC|Plas.B	EC|Slow_cycling	EC|TAM	EC|Treg	EC|cDC	EC|pDC	Exhausted_CD8_T_cell|Bcell	Exhausted_CD8_T_cell|CAF	Exhausted_CD8_T_cell|CD4.T	Exhausted_CD8_T_cell|EC	Exhausted_CD8_T_cell|Exhausted_CD8_T_cell	Exhausted_CD8_T_cell|Fast_cycling	Exhausted_CD8_T_cell|Fib	Exhausted_CD8_T_cell|G0_arrested	Exhausted_CD8_T_cell|Mac	Exhausted_CD8_T_cell|Mast	Exhausted_CD8_T_cell|Peri	Exhausted_CD8_T_cell|Plas.B	Exhausted_CD8_T_cell|Slow_cycling	Exhausted_CD8_T_cell|TAM	Exhausted_CD8_T_cell|Treg	Exhausted_CD8_T_cell|cDC	Exhausted_CD8_T_cell|pDC	Fast_cycling|Bcell	Fast_cycling|CAF	Fast_cycling|CD4.T	Fast_cycling|EC	Fast_cycling|Exhausted_CD8_T_cell	Fast_cycling|Fast_cycling	Fast_cycling|Fib	Fast_cycling|G0_arrested	Fast_cycling|Mac	Fast_cycling|Mast	Fast_cycling|Peri	Fast_cycling|Plas.B	Fast_cycling|Slow_cycling	Fast_cycling|TAM	Fast_cycling|Treg	Fast_cycling|cDC	Fast_cycling|pDC	Fib|Bcell	Fib|CAF	Fib|CD4.T	Fib|EC	Fib|Exhausted_CD8_T_cell	Fib|Fast_cycling	Fib|Fib	Fib|G0_arrested	Fib|Mac	Fib|Mast	Fib|Peri	Fib|Plas.B	Fib|Slow_cycling	Fib|TAM	Fib|Treg	Fib|cDC	Fib|pDC	G0_arrested|Bcell	G0_arrested|CAF	G0_arrested|CD4.T	G0_arrested|EC	G0_arrested|Exhausted_CD8_T_cell	G0_arrested|Fast_cycling	G0_arrested|Fib	G0_arrested|G0_arrested	G0_arrested|Mac	G0_arrested|Mast	G0_arrested|Peri	G0_arrested|Plas.B	G0_arrested|Slow_cycling	G0_arrested|TAM	G0_arrested|Treg	G0_arrested|cDC	G0_arrested|pDC	Mac|Bcell	Mac|CAF	Mac|CD4.T	Mac|EC	Mac|Exhausted_CD8_T_cell	Mac|Fast_cycling	Mac|Fib	Mac|G0_arrested	Mac|Mac	Mac|Mast	Mac|Peri	Mac|Plas.B	Mac|Slow_cycling	Mac|TAM	Mac|Treg	Mac|cDC	Mac|pDC	Mast|Bcell	Mast|CAF	Mast|CD4.T	Mast|EC	Mast|Exhausted_CD8_T_cell	Mast|Fast_cycling	Mast|Fib	Mast|G0_arrested	Mast|Mac	Mast|Mast	Mast|Peri	Mast|Plas.B	Mast|Slow_cycling	Mast|TAM	Mast|Treg	Mast|cDC	Mast|pDC	Peri|Bcell	Peri|CAF	Peri|CD4.T	Peri|EC	Peri|Exhausted_CD8_T_cell	Peri|Fast_cycling	Peri|Fib	Peri|G0_arrested	Peri|Mac	Peri|Mast	Peri|Peri	Peri|Plas.B	Peri|Slow_cycling	Peri|TAM	Peri|Treg	Peri|cDC	Peri|pDC	Plas.B|Bcell	Plas.B|CAF	Plas.B|CD4.T	Plas.B|EC	Plas.B|Exhausted_CD8_T_cell	Plas.B|Fast_cycling	Plas.B|Fib	Plas.B|G0_arrested	Plas.B|Mac	Plas.B|Mast	Plas.B|Peri	Plas.B|Plas.B	Plas.B|Slow_cycling	Plas.B|TAM	Plas.B|Treg	Plas.B|cDC	Plas.B|pDC	Slow_cycling|Bcell	Slow_cycling|CAF	Slow_cycling|CD4.T	Slow_cycling|EC	Slow_cycling|Exhausted_CD8_T_cell	Slow_cycling|Fast_cycling	Slow_cycling|Fib	Slow_cycling|G0_arrested	Slow_cycling|Mac	Slow_cycling|Mast	Slow_cycling|Peri	Slow_cycling|Plas.B	Slow_cycling|Slow_cycling	Slow_cycling|TAM	Slow_cycling|Treg	Slow_cycling|cDC	Slow_cycling|pDC	TAM|Bcell	TAM|CAF	TAM|CD4.T	TAM|EC	TAM|Exhausted_CD8_T_cell	TAM|Fast_cycling	TAM|Fib	TAM|G0_arrested	TAM|Mac	TAM|Mast	TAM|Peri	TAM|Plas.B	TAM|Slow_cycling	TAM|TAM	TAM|Treg	TAM|cDC	TAM|pDC	Treg|Bcell	Treg|CAF	Treg|CD4.T	Treg|EC	Treg|Exhausted_CD8_T_cell	Treg|Fast_cycling	Treg|Fib	Treg|G0_arrested	Treg|Mac	Treg|Mast	Treg|Peri	Treg|Plas.B	Treg|Slow_cycling	Treg|TAM	Treg|Treg	Treg|cDC	Treg|pDC	cDC|Bcell	cDC|CAF	cDC|CD4.T	cDC|EC	cDC|Exhausted_CD8_T_cell	cDC|Fast_cycling	cDC|Fib	cDC|G0_arrested	cDC|Mac	cDC|Mast	cDC|Peri	cDC|Plas.B	cDC|Slow_cycling	cDC|TAM	cDC|Treg	cDC|cDC	cDC|pDC	pDC|Bcell	pDC|CAF	pDC|CD4.T	pDC|EC	pDC|Exhausted_CD8_T_cell	pDC|Fast_cycling	pDC|Fib	pDC|G0_arrested	pDC|Mac	pDC|Mast	pDC|Peri	pDC|Plas.B	pDC|Slow_cycling	pDC|TAM	pDC|Treg	pDC|cDC	pDC|pDC
CPI-SS0FD442A0E	CCL7_ACKR2	simple:P80098	simple:O00590	CCL7	ACKR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.003																																																																																																																																														0.623																																																																																																																																																			
CPI-SC0DA028FF9	BMP7_BMPR1B_BMPR2	simple:P18075	complex:BMPR1B_BMPR2	BMP7		True	False	True	curated	False	Ligand-Receptor	Signaling by BMP	0.003																																																																																													0.219																																																																																																																																																																																																				
CPI-SC052486D3E	BMP4_BMR1A_ACR2A	simple:P12644	complex:BMR1A_ACR2A	BMP4		True	False	True	curated	False	Ligand-Receptor	Signaling by BMP	0.003																																																																																												0.164																																																																																																																																																																																																					
CPI-SC0BACF0481	BMP7_BMR1A_ACR2A	simple:P18075	complex:BMR1A_ACR2A	BMP7		True	False	True	curated	False	Ligand-Receptor	Signaling by BMP	0.003																																																																																												0.167																																																																																																																																																																																																					
CPI-SS0D9366D11	FGF1_FGFR4	simple:P05230	simple:P22455	FGF1	FGFR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.003																							0.18																																																																																																																																																																																																																																																																										
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.003																																																							2.579																																																																																																																																																																																																																																										
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.003																																																																																																																																																																																					0.646																																																																																																												
CPI-SC049520B40	BMP7_BMR1A_AVR2B	simple:P18075	complex:BMR1A_AVR2B	BMP7		True	False	True	curated	False	Ligand-Receptor	Signaling by BMP	0.003																																																																																											0.171																																																																																																																																																																																																						
CPI-SS015819E65	FGF1_FGFR3	simple:P05230	simple:P22607	FGF1	FGFR3	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.003																							0.178																																																																																																																																																																																																																																																																										
CPI-SC0629FB330	IL1A_IL1_receptor_inhibitor	simple:P01583	complex:IL1_receptor_inhibitor	IL1A		True	False	True	curated	False	Ligand-Receptor	Signaling by Interleukin	0.003																																																																																																																																																								0.174																																																																																																																																									
CPI-SS02CCE14A7	ADCYAP1_VIPR2	simple:P18509	simple:P41587	ADCYAP1	VIPR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Pituitary adenylate	0.003																																																																																																																																																																										0.4																																																																																																																							
CPI-SS09D4B2070	CD274_PDCD1	simple:Q9NZQ7	simple:Q15116	CD274	PDCD1	False	True	True	curated	False	Ligand-Receptor		0.003																																																																																																																																																																																																																																												0.218																																																					
CPI-SC07F8BC578	BMP4_BMPR1B_BMPR2	simple:P12644	complex:BMPR1B_BMPR2	BMP4		True	False	True	curated	False	Ligand-Receptor	Signaling by BMP	0.003																																																																																													0.216																																																																																																																																																																																																				
CPI-SS0109FE6AE	HGF_MET	simple:P14210	simple:P08581	HGF	MET	True	False	True	curated	False	Ligand-Receptor		0.003																																																																																																																																																																																																																																	0.253																																																																
CPI-SS0FA9304CE	LRFN4_PTPRD	simple:Q6PJG9	simple:P23468	LRFN4	PTPRD	False	False	True	curated	False	Ligand-Receptor	Signaling by Leucine Rich Repeat And Fibronectin	0.003																																																																																							0.204																																																																																																																																																																																																										
CPI-SS04A97448D	FGF1_FGFR2	simple:P05230	simple:P21802	FGF1	FGFR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.003																							0.215																																																																																																																																																																																																																																																																										
CPI-SS0D26FB68C	FCER2_FGFR2	simple:P06734	simple:P21802	FCER2	FGFR2	True	True	True	curated	False	Receptor-Receptor	Signaling by FC receptor	0.003						0.3																																																																																																																																																																																																																																																																																											
CPI-SS000568A0E	FCER2_CR2	simple:P06734	simple:P20023	FCER2	CR2	True	True	True	curated	False	Receptor-Receptor	Signaling by FC receptor	0.003	0.279																																																																																																																																																																																																																																																																																																
CPI-SS00AEC3818	CCL19_ACKR4	simple:Q99731	simple:Q9NPB9	CCL19	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.003																																																																																																													1.172																																																																																																																																																																																				
CPI-CS0FF6E7611	Histamine_byHDC_HRH1	complex:Histamine_byHDC	simple:P35367		HRH1	True	False	True	curated	False	Ligand-Receptor	Signaling by Histamine	0.003																																																																																																																																																													1.261																																																																																																																																				
CPI-SS0ACFA4F22	GJA5_GJA5	simple:P36382	simple:P36382	GJA5	GJA5	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.003																																																							0.657																																																																																																																																																																																																																																										
CPI-SS0F60C6D89	CCL13_ACKR2	simple:Q99616	simple:O00590	CCL13	ACKR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.003																																																																																																																																																																																																																																			0.974																																																														
CPI-SS0710B1B3A	CTSG_F2RL3	simple:P08311	simple:Q96RI0	CTSG	F2RL3	True	False	True	curated	False	Ligand-Receptor	Signaling by Cathepsin	0.003																																																																																																																																																													2.615																																																																																																																																				
CPI-SS004B1EBD1	CCL14_ACKR2	simple:Q16627	simple:O00590	CCL14	ACKR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.003																																																									0.25																																																																																																																																																																																																																																								
CPI-SS0DBA22B92	CHL1_CHL1	simple:O00533	simple:O00533	CHL1	CHL1	True	False	False	curated	False	Adhesion-Adhesion		0.003																																																																																																													0.278																																																																																																																																																																																				
CPI-SC0A9057425	BMP7_ACVR_1A2B_receptor	simple:P18075	complex:ACVR_1A2B_receptor	BMP7		True	False	True	curated	False	Ligand-Receptor	Signaling by BMP	0.003																																																																																											0.171																																																																																																																																																																																																						
CPI-CS09A35DD21	Prostacyclin_byPTGIS_PTGIR	complex:Prostacyclin_byPTGIS	simple:P43119		PTGIR	True	False	True	curated	False	Ligand-Receptor		0.003																																																																																																																	0.729																																																																																																																																																																																
CPI-SC01D95B14C	BMP4_BMR1A_AVR2B	simple:P12644	complex:BMR1A_AVR2B	BMP4		True	False	True	curated	False	Ligand-Receptor	Signaling by BMP	0.003																																																																																											0.168																																																																																																																																																																																																						
CPI-SS0EA023E51	TENM3_ADGRL3	simple:Q9P273	simple:Q9HAR2	TENM3	ADGRL3	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.003																												0.136																																																																																																																																																																																																																																																																					
CPI-SS04FD52559	TENM3_ADGRL1	simple:Q9P273	simple:O94910	TENM3	ADGRL1	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.003																							0.218																																																																																																																																																																																																																																																																										
CPI-SC08F771F98	SEMA6A_PlexinA2_complex1	simple:Q9H2E6	complex:PlexinA2_complex1	SEMA6A		False	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.003																																																							0.338																																																																																																																																																																																																																																										
CPI-SS005572B52	VEGFC_FLT4	simple:P49767	simple:P35916	VEGFC	FLT4	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.003																																																							0.408																																																																																																																																																																																																																																										
