gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	B cells Memory	CAFs MSC iCAF-like s1	CAFs MSC iCAF-like s2	CAFs myCAF like s4	CAFs myCAF like s5	Cancer Basal SC_0	Cancer Basal SC_1	Cancer Basal SC_2	Cancer Cycling_0	Cancer Cycling_1	Cancer Cycling_2	Cancer Her2 SC_0	Cancer Her2 SC_1	Cancer Her2 SC_2	Cancer LumA SC_0	Cancer LumA SC_1	Cancer LumA SC_2	Cancer LumB SC_1	Cancer LumB SC_2	Cycling PVL	Cycling_Myeloid	Endothelial ACKR1	Endothelial CXCL12	Endothelial Lymphatic LYVE1	Endothelial RGS5	G0_arrested	Luminal Progenitors_0	Luminal Progenitors_1	Luminal Progenitors_2	Mature Luminal_0	Mature Luminal_1	Mature Luminal_2	Myeloid_c0_DC_LAMP3	Myeloid_c10_Macrophage_1_EGR1	Myeloid_c11_cDC2_CD1C	Myeloid_c12_Monocyte_1_IL1B	Myeloid_c1_LAM1_FABP5	Myeloid_c2_LAM2_APOE	Myeloid_c3_cDC1_CLEC9A	Myeloid_c4_DCs_pDC_IRF7	Myeloid_c5_Macrophage_3_SIGLEC1	Myeloid_c8_Monocyte_2_S100A9	Myeloid_c9_Macrophage_2_CXCL10	Myoepithelial_0	Myoepithelial_2	PVL Differentiated s3	PVL Immature s1	PVL_Immature s2	Plasmablasts	T_cells_c11_MKI67	T_cells_c2_CD4+_T-regs_FOXP3	T_cells_c5_CD8+_GZMK	T_cells_c6_IFIT1
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.075	0.057	0.0	0.429	0.079	0.0	0.084	0.088	0.051	0.017	0.039	0.071	0.085	0.086	0.0	0.018	0.0	0.051	0.0	0.077	0.429	0.08	0.023	0.0	0.123	0.053	0.033	0.057	0.133	0.0	0.014	0.0	0.208	0.155	0.182	0.2	0.369	0.073	0.0	0.095	0.167	0.333	0.159	0.079	0.0	0.02	0.0	0.212	0.062	0.0	0.333	0.081	0.184
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.075	0.057	0.0	0.429	0.079	0.0	0.084	0.088	0.051	0.017	0.039	0.071	0.085	0.086	0.0	0.018	0.0	0.051	0.0	0.077	0.429	0.08	0.023	0.0	0.123	0.053	0.033	0.057	0.133	0.0	0.014	0.0	0.208	0.155	0.182	0.2	0.369	0.073	0.0	0.095	0.167	0.333	0.159	0.079	0.0	0.02	0.0	0.212	0.062	0.0	0.333	0.081	0.184
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.238	0.204	1.0	0.286	0.207	0.028	0.125	0.112	0.128	0.197	0.071	0.5	0.436	0.477	0.0	0.425	0.4	0.463	0.846	0.154	0.429	0.182	0.189	0.286	0.213	0.329	0.076	0.071	0.067	0.0	0.446	0.0	0.417	0.405	0.455	0.0	0.42	0.233	0.333	0.238	0.167	0.333	0.253	0.29	0.0	0.23	0.2	0.327	0.149	0.2	1.0	0.181	0.482
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.238	0.204	1.0	0.286	0.207	0.028	0.125	0.112	0.128	0.197	0.071	0.5	0.436	0.477	0.0	0.425	0.4	0.463	0.846	0.154	0.429	0.182	0.189	0.286	0.213	0.329	0.076	0.071	0.067	0.0	0.446	0.0	0.417	0.405	0.455	0.0	0.42	0.233	0.333	0.238	0.167	0.333	0.253	0.29	0.0	0.23	0.2	0.327	0.149	0.2	1.0	0.181	0.482
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.238	0.204	1.0	0.286	0.207	0.028	0.125	0.112	0.128	0.197	0.071	0.5	0.436	0.477	0.0	0.425	0.4	0.463	0.846	0.154	0.429	0.182	0.189	0.286	0.213	0.329	0.076	0.071	0.067	0.0	0.446	0.0	0.417	0.405	0.455	0.0	0.42	0.233	0.333	0.238	0.167	0.333	0.253	0.29	0.0	0.23	0.2	0.327	0.149	0.2	1.0	0.181	0.482
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.1	0.165	0.0	0.571	0.209	0.139	0.273	0.316	0.077	0.236	0.149	0.286	0.574	0.807	1.0	0.492	0.6	0.48	0.231	0.077	0.571	0.133	0.182	0.095	0.209	0.441	0.148	0.157	0.2	0.0	0.216	1.0	0.333	0.226	0.182	0.4	0.428	0.184	0.0	0.095	0.333	0.333	0.253	0.226	0.0	0.15	0.2	0.365	0.14	0.0	0.0	0.132	0.588
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.112	0.122	1.0	0.571	0.184	0.083	0.242	0.384	0.051	0.185	0.148	0.286	0.516	0.765	0.0	0.115	0.6	0.173	0.154	0.077	0.286	0.077	0.083	0.143	0.143	0.199	0.143	0.071	0.4	0.0	0.135	1.0	0.208	0.286	0.0	0.2	0.353	0.143	0.333	0.024	0.167	0.333	0.269	0.213	0.333	0.09	0.0	0.346	0.105	0.4	0.0	0.103	0.561
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.0	0.001	0.0	0.0	0.014	0.0	0.002	0.008	0.0	0.006	0.004	0.0	0.0	0.021	0.0	0.003	0.0	0.012	0.154	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.004	0.0	0.0	0.0	0.0	0.011	0.005	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.001	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	SULT1E1	0.0	0.002	0.0	0.143	0.008	0.0	0.001	0.004	0.0	0.0	0.003	0.0	0.0	0.003	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.005	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.005	0.005	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS06B596CD2	SULT1E1	0.0	0.002	0.0	0.143	0.008	0.0	0.001	0.004	0.0	0.0	0.003	0.0	0.0	0.003	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.005	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.005	0.005	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0
