gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	B cells Memory	CAFs MSC iCAF-like s1	CAFs MSC iCAF-like s2	CAFs myCAF like s4	CAFs myCAF like s5	Cancer Basal SC_0	Cancer Basal SC_1	Cancer Basal SC_2	Cancer Cycling_0	Cancer Cycling_1	Cancer Cycling_2	Cancer Her2 SC_0	Cancer Her2 SC_1	Cancer Her2 SC_2	Cancer LumA SC_0	Cancer LumA SC_1	Cancer LumA SC_2	Cancer LumB SC_1	Cancer LumB SC_2	Cycling PVL	Cycling_Myeloid	Endothelial ACKR1	Endothelial CXCL12	Endothelial Lymphatic LYVE1	Endothelial RGS5	G0_arrested	Luminal Progenitors_0	Luminal Progenitors_1	Luminal Progenitors_2	Mature Luminal_0	Mature Luminal_1	Mature Luminal_2	Myeloid_c0_DC_LAMP3	Myeloid_c10_Macrophage_1_EGR1	Myeloid_c11_cDC2_CD1C	Myeloid_c12_Monocyte_1_IL1B	Myeloid_c1_LAM1_FABP5	Myeloid_c2_LAM2_APOE	Myeloid_c3_cDC1_CLEC9A	Myeloid_c4_DCs_pDC_IRF7	Myeloid_c5_Macrophage_3_SIGLEC1	Myeloid_c8_Monocyte_2_S100A9	Myeloid_c9_Macrophage_2_CXCL10	Myoepithelial_0	Myoepithelial_2	PVL Differentiated s3	PVL Immature s1	PVL_Immature s2	Plasmablasts	T_cells_c11_MKI67	T_cells_c2_CD4+_T-regs_FOXP3	T_cells_c5_CD8+_GZMK	T_cells_c6_IFIT1
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.077	0.049	0.0	0.201	0.063	0.0	0.063	0.061	0.094	0.007	0.033	0.056	0.053	0.036	0.0	0.011	0.0	0.031	0.0	0.176	0.348	0.076	0.02	0.0	0.09	0.039	0.032	0.049	0.104	0.0	0.018	0.0	0.114	0.119	0.185	0.169	0.276	0.074	0.0	0.101	0.349	0.255	0.095	0.061	0.0	0.018	0.0	0.143	0.053	0.0	0.258	0.073	0.089
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.077	0.049	0.0	0.201	0.063	0.0	0.063	0.061	0.094	0.007	0.033	0.056	0.053	0.036	0.0	0.011	0.0	0.031	0.0	0.176	0.348	0.076	0.02	0.0	0.09	0.039	0.032	0.049	0.104	0.0	0.018	0.0	0.114	0.119	0.185	0.169	0.276	0.074	0.0	0.101	0.349	0.255	0.095	0.061	0.0	0.018	0.0	0.143	0.053	0.0	0.258	0.073	0.089
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.246	0.245	1.411	0.118	0.191	0.025	0.095	0.085	0.154	0.126	0.069	0.338	0.236	0.228	0.0	0.387	0.167	0.354	0.998	0.314	0.452	0.22	0.22	0.424	0.2	0.275	0.069	0.088	0.1	0.0	0.456	0.0	0.31	0.378	0.502	0.0	0.341	0.239	0.485	0.274	0.426	0.182	0.199	0.261	0.0	0.246	0.231	0.22	0.163	0.108	1.094	0.202	0.303
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.246	0.245	1.411	0.118	0.191	0.025	0.095	0.085	0.154	0.126	0.069	0.338	0.236	0.228	0.0	0.387	0.167	0.354	0.998	0.314	0.452	0.22	0.22	0.424	0.2	0.275	0.069	0.088	0.1	0.0	0.456	0.0	0.31	0.378	0.502	0.0	0.341	0.239	0.485	0.274	0.426	0.182	0.199	0.261	0.0	0.246	0.231	0.22	0.163	0.108	1.094	0.202	0.303
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.246	0.245	1.411	0.118	0.191	0.025	0.095	0.085	0.154	0.126	0.069	0.338	0.236	0.228	0.0	0.387	0.167	0.354	0.998	0.314	0.452	0.22	0.22	0.424	0.2	0.275	0.069	0.088	0.1	0.0	0.456	0.0	0.31	0.378	0.502	0.0	0.341	0.239	0.485	0.274	0.426	0.182	0.199	0.261	0.0	0.246	0.231	0.22	0.163	0.108	1.094	0.202	0.303
SRD5A3	Q9H8P0	True	PORED_HUMAN	Dihydrotestosterone_bySRD5A3	CPI-CS039E9FE7F	SRD5A3	0.094	0.175	0.0	0.257	0.184	0.168	0.238	0.256	0.097	0.201	0.142	0.287	0.444	0.607	1.308	0.466	0.451	0.367	0.145	0.115	0.43	0.139	0.205	0.075	0.19	0.392	0.132	0.13	0.139	0.0	0.194	0.487	0.216	0.186	0.124	0.288	0.338	0.187	0.0	0.081	0.722	0.299	0.2	0.185	0.0	0.141	0.273	0.247	0.128	0.0	0.0	0.129	0.413
SRD5A1	P18405	True	S5A1_HUMAN	Dihydrotestosterone_bySRD5A1	CPI-CS0EC7F7C75	SRD5A1	0.109	0.115	1.975	0.236	0.156	0.087	0.205	0.368	0.07	0.152	0.143	0.153	0.385	0.503	0.0	0.074	0.446	0.097	0.109	0.082	0.223	0.067	0.098	0.166	0.107	0.151	0.147	0.081	0.349	0.0	0.12	0.813	0.137	0.23	0.0	0.164	0.266	0.122	0.391	0.024	0.349	0.299	0.215	0.18	0.267	0.08	0.0	0.211	0.093	0.22	0.0	0.101	0.361
SRD5A2	P31213	True	S5A2_HUMAN	Dihydrotestosterone_bySRD5A2	CPI-CS0D228AF4D	SRD5A2	0.0	0.001	0.0	0.0	0.01	0.0	0.002	0.005	0.0	0.001	0.003	0.0	0.0	0.008	0.0	0.002	0.0	0.006	0.121	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.002	0.0	0.0	0.0	0.0	0.003	0.002	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.001	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0F71EE8D0	SULT1E1	0.0	0.002	0.0	0.073	0.006	0.0	0.001	0.002	0.0	0.0	0.002	0.0	0.0	0.002	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.008	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS06B596CD2	SULT1E1	0.0	0.002	0.0	0.073	0.006	0.0	0.001	0.002	0.0	0.0	0.002	0.0	0.0	0.002	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.008	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.0	0.002	0.0	0.073	0.006	0.0	0.001	0.002	0.0	0.0	0.002	0.0	0.0	0.002	0.0	0.001	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.001	0.008	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	CYP21A2	0.022	0.033	0.0	0.0	0.054	0.0	0.005	0.007	0.0	0.01	0.003	0.066	0.058	0.166	0.0	0.156	0.057	0.024	0.299	0.0	0.0	0.019	0.04	0.0	0.042	0.088	0.028	0.031	0.09	0.0	0.112	0.0	0.039	0.036	0.176	0.0	0.033	0.032	0.0	0.049	0.0	0.299	0.015	0.063	0.089	0.035	0.0	0.027	0.031	0.0	0.0	0.014	0.099
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	DHCR7	0.322	0.387	1.411	0.882	0.393	0.969	0.665	0.768	0.496	0.912	0.82	0.387	0.605	0.55	0.0	0.602	1.079	0.501	0.891	0.253	0.726	0.334	0.431	0.582	0.528	0.616	0.716	0.363	0.692	0.653	0.403	0.0	0.457	0.275	0.358	0.102	0.263	0.496	0.509	0.254	0.708	0.214	0.528	0.349	0.423	0.354	0.481	0.374	0.445	0.488	0.402	0.341	0.324
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	DHCR7	0.322	0.387	1.411	0.882	0.393	0.969	0.665	0.768	0.496	0.912	0.82	0.387	0.605	0.55	0.0	0.602	1.079	0.501	0.891	0.253	0.726	0.334	0.431	0.582	0.528	0.616	0.716	0.363	0.692	0.653	0.403	0.0	0.457	0.275	0.358	0.102	0.263	0.496	0.509	0.254	0.708	0.214	0.528	0.349	0.423	0.354	0.481	0.374	0.445	0.488	0.402	0.341	0.324
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS06C6527F4	DHCR7	0.322	0.387	1.411	0.882	0.393	0.969	0.665	0.768	0.496	0.912	0.82	0.387	0.605	0.55	0.0	0.602	1.079	0.501	0.891	0.253	0.726	0.334	0.431	0.582	0.528	0.616	0.716	0.363	0.692	0.653	0.403	0.0	0.457	0.275	0.358	0.102	0.263	0.496	0.509	0.254	0.708	0.214	0.528	0.349	0.423	0.354	0.481	0.374	0.445	0.488	0.402	0.341	0.324
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Cholesterol_byDHCR7	CPI-CS0BEF10547	DHCR7	0.322	0.387	1.411	0.882	0.393	0.969	0.665	0.768	0.496	0.912	0.82	0.387	0.605	0.55	0.0	0.602	1.079	0.501	0.891	0.253	0.726	0.334	0.431	0.582	0.528	0.616	0.716	0.363	0.692	0.653	0.403	0.0	0.457	0.275	0.358	0.102	0.263	0.496	0.509	0.254	0.708	0.214	0.528	0.349	0.423	0.354	0.481	0.374	0.445	0.488	0.402	0.341	0.324
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	PTGR1	0.087	0.172	0.0	0.178	0.188	0.169	0.161	0.154	0.102	0.285	0.15	0.285	0.54	0.67	0.0	0.226	0.511	0.15	0.066	0.054	0.287	0.136	0.179	0.054	0.211	0.236	0.198	0.288	0.175	0.0	0.284	0.0	0.244	0.311	0.063	0.0	0.336	0.128	0.304	0.05	0.0	0.525	0.142	0.298	0.277	0.14	0.0	0.168	0.091	0.328	0.0	0.123	0.356
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	PTGR1	0.087	0.172	0.0	0.178	0.188	0.169	0.161	0.154	0.102	0.285	0.15	0.285	0.54	0.67	0.0	0.226	0.511	0.15	0.066	0.054	0.287	0.136	0.179	0.054	0.211	0.236	0.198	0.288	0.175	0.0	0.284	0.0	0.244	0.311	0.063	0.0	0.336	0.128	0.304	0.05	0.0	0.525	0.142	0.298	0.277	0.14	0.0	0.168	0.091	0.328	0.0	0.123	0.356
